"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Abo3",4.25432918510674e-06,-1.27693352460777,0.324,0.166,0.0127629875553202
"Arfgap3",4.35935930885297e-06,-0.998719796987164,0.471,0.478,0.0130780779265589
"Atad3a",4.83084148733119e-06,1.1911716509394,0.168,0.2,0.0144925244619936
"Nfx1",4.87445293499569e-06,-0.410056235631425,0.133,0.173,0.0146233588049871
"Ddx49",4.98066405528652e-06,1.01927571706943,0.158,0.087,0.0149419921658596
"Ccl20",5.59058902126459e-06,-1.51483976151948,0.23,0.114,0.0167717670637938
"Fbl",5.65589368622505e-06,2.16665062179337,0.16,0.223,0.0169676810586752
"Eif3f",5.671063981531e-06,0.581701386608495,0.258,0.277,0.017013191944593
"Neurl4",5.86661598429735e-06,1.37151307615966,0.236,0.248,0.0175998479528921
"Msmo1",5.92441711045066e-06,-2.20438574399542,0.209,0.188,0.017773251331352
"Matr3",6.21063845954508e-06,0.796043610554611,0.146,0.148,0.0186319153786352
"Ewsr1",6.22723010068169e-06,1.30751246616803,0.27,0.22,0.0186816903020451
"Cdk2",6.29961236792839e-06,-0.811539371998456,0.152,0.042,0.0188988371037852
"Rassf3",6.33329332205501e-06,0.612552945483564,0.303,0.258,0.018999879966165
"Tipin",6.38413530410419e-06,0.539350122144516,0.154,0.102,0.0191524059123126
"Stag2",6.43537098353845e-06,-0.532657957591148,0.287,0.3,0.0193061129506154
"Park7",6.45253719976433e-06,-0.486346829574061,0.256,0.317,0.019357611599293
"Trappc6a",6.6090032492417e-06,0.903367596396484,0.207,0.28,0.0198270097477251
"Eif3el1.1",7.02551809617974e-06,-0.91540657537163,0.281,0.154,0.0210765542885392
"Akap12",7.10047069688591e-06,-1.81061018410019,0.139,0.055,0.0213014120906577
"Pmaip1",7.20796249417042e-06,-0.675101427544798,0.328,0.381,0.0216238874825112
"Cnot3",7.22071902340268e-06,-1.769599902176,0.268,0.161,0.021662157070208
"Rad23a",7.27192627198602e-06,1.58928972577637,0.119,0.173,0.0218157788159581
"Akr1c19",8.08302383146614e-06,2.12509306369541,0.295,0.359,0.0242490714943984
"Socs7",8.46815644116262e-06,0.4647744187239,0.15,0.138,0.0254044693234879
"Tmem140",8.52778405207635e-06,-0.476070808378911,0.248,0.166,0.025583352156229
"Hdgfl3",9.03533794954297e-06,-1.08826392175304,0.219,0.01,0.0271060138486289
"Vps37b",9.11471855983395e-06,0.685732420728088,0.365,0.372,0.0273441556795018
"Sdf2l1",9.16266056474463e-06,1.07382424862724,0.088,0.134,0.0274879816942339
"Mzt1",9.24310185703665e-06,-0.700949294315022,0.162,0.037,0.0277293055711099
"Dnm1l",9.29981871231311e-06,2.18357517087127,0.211,0.237,0.0278994561369393
"Exoc1",9.34868827085588e-06,-0.755655319677091,0.236,0.153,0.0280460648125676
"Cox7a1",9.60514529324891e-06,0.370216659735674,0.352,0.383,0.0288154358797467
"Krit1",9.65554852388711e-06,0.431224730811793,0.174,0.144,0.0289666455716613
"Ces2g.1",9.697750695013e-06,-0.582477023371505,0.359,0.314,0.029093252085039
"Gnai2",9.72315036183518e-06,-0.299190263462016,0.277,0.2,0.0291694510855056
"Rpl31",9.86830751321179e-06,-0.723000101321013,0.148,0.196,0.0296049225396354
"Hbbl1",9.98053583230789e-06,-3.93013365718623,0.146,0.124,0.0299416074969237
"Cggbp1",1.00679930400992e-05,0.950711386033654,0.242,0.294,0.0302039791202975
"Bcat2",1.01295166687608e-05,-2.82911464079304,0.188,0.034,0.0303885500062825
"Magi1",1.03522405136218e-05,-0.396438709649272,0.262,0.084,0.0310567215408653
"Cln6",1.10392218934195e-05,1.04568383389396,0.117,0.173,0.0331176656802584
"Aqr",1.11353288100693e-05,0.459113254239171,0.197,0.102,0.033405986430208
"Icam2",1.13005372337945e-05,-1.72864972216257,0.307,0.04,0.0339016117013835
